x_coordinate,y_coordinate,r,g,b
4.0,10.0,131.0,131.0,137.0
4.0,11.0,139.0,137.0,139.0
4.0,12.0,155.0,151.0,142.0
4.0,13.0,150.0,151.0,138.0
4.0,14.0,133.0,139.0,127.0
4.0,15.0,129.0,134.0,126.0
4.0,16.0,128.0,131.0,126.0
4.0,17.0,136.0,138.0,139.0
4.0,18.0,145.0,150.0,156.0
4.0,19.0,145.0,150.0,156.0
4.0,20.0,141.0,145.0,152.0
4.0,21.0,186.0,186.0,185.0
4.0,22.0,235.0,223.0,210.0
4.0,23.0,178.0,145.0,118.0
4.0,24.0,176.0,156.0,132.0
4.0,25.0,195.0,177.0,150.0
4.0,26.0,209.0,187.0,161.0
4.0,27.0,220.0,198.0,171.0
4.0,28.0,233.0,209.0,183.0
4.0,29.0,195.0,171.0,147.0
4.0,30.0,175.0,153.0,128.0
4.0,31.0,203.0,179.0,149.0
4.0,32.0,198.0,176.0,146.0
4.0,33.0,184.0,166.0,138.0
4.0,34.0,176.0,158.0,129.0
4.0,35.0,179.0,159.0,126.0
4.0,36.0,184.0,162.0,125.0
4.0,37.0,173.0,152.0,118.0
4.0,38.0,154.0,134.0,103.0
4.0,39.0,137.0,121.0,100.0
4.0,40.0,119.0,118.0,129.0
4.0,41.0,117.0,123.0,142.0
4.0,42.0,105.0,112.0,133.0
4.0,43.0,87.0,94.0,118.0
4.0,44.0,67.0,78.0,100.0
4.0,45.0,53.0,64.0,85.0
4.0,46.0,55.0,61.0,79.0
4.0,47.0,65.0,71.0,81.0
4.0,48.0,48.0,56.0,73.0
5.0,1.0,133.0,151.0,105.0
5.0,2.0,114.0,136.0,91.0
5.0,3.0,96.0,120.0,77.0
5.0,4.0,135.0,145.0,118.0
5.0,5.0,155.0,153.0,130.0
5.0,6.0,153.0,152.0,139.0
5.0,7.0,117.0,120.0,129.0
5.0,8.0,96.0,100.0,110.0
5.0,9.0,96.0,98.0,107.0
5.0,10.0,95.0,97.0,106.0
5.0,11.0,97.0,97.0,106.0
5.0,12.0,101.0,102.0,107.0
5.0,13.0,102.0,104.0,111.0
5.0,14.0,103.0,106.0,114.0
5.0,15.0,103.0,107.0,115.0
5.0,16.0,97.0,100.0,111.0
5.0,17.0,94.0,98.0,109.0
5.0,18.0,98.0,99.0,108.0
5.0,19.0,100.0,101.0,107.0
5.0,20.0,105.0,105.0,111.0
5.0,21.0,133.0,132.0,133.0
5.0,22.0,204.0,194.0,183.0
5.0,23.0,176.0,144.0,118.0
5.0,24.0,143.0,128.0,109.0
5.0,25.0,152.0,147.0,131.0
5.0,26.0,161.0,155.0,141.0
5.0,27.0,186.0,172.0,154.0
5.0,28.0,227.0,201.0,177.0
5.0,29.0,164.0,139.0,116.0
5.0,30.0,168.0,152.0,131.0
5.0,31.0,194.0,174.0,144.0
5.0,32.0,204.0,184.0,153.0
5.0,33.0,202.0,185.0,157.0
5.0,34.0,198.0,181.0,154.0
5.0,35.0,197.0,180.0,152.0
5.0,36.0,196.0,179.0,150.0
5.0,37.0,194.0,177.0,148.0
5.0,38.0,183.0,165.0,139.0
5.0,39.0,128.0,122.0,125.0
5.0,40.0,101.0,104.0,121.0
5.0,41.0,85.0,89.0,107.0
5.0,42.0,69.0,75.0,94.0
5.0,43.0,53.0,61.0,83.0
5.0,44.0,40.0,48.0,69.0
5.0,45.0,43.0,53.0,74.0
5.0,46.0,46.0,55.0,73.0
5.0,47.0,55.0,63.0,71.0
5.0,48.0,39.0,40.0,51.0
6.0,1.0,167.0,176.0,138.0
6.0,2.0,115.0,134.0,92.0
6.0,3.0,97.0,115.0,76.0
6.0,4.0,145.0,149.0,119.0
6.0,5.0,167.0,166.0,126.0
6.0,6.0,138.0,139.0,122.0
6.0,7.0,96.0,100.0,109.0
